                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.75196,                0.67554,                 1.2113,                0.79484,                0.62256,                0.67676,                0.53933,                    nan,                    nan,                    nan,             0.00070502,             0.00070502,             0.00070502
                     70,                0.74922,                0.68063,                 1.2236,                0.60367,                0.67768,                0.64243,                0.51619,                    nan,                    nan,                    nan,             0.00070202,             0.00070202,             0.00070202
                     71,                0.73933,                0.66491,                 1.2127,                0.56199,                0.64632,                0.58062,                0.47207,                    nan,                    nan,                    nan,             0.00069902,             0.00069902,             0.00069902
                     72,                0.72081,                0.64654,                  1.196,                0.63281,                 0.6273,                0.60792,                0.49347,                    nan,                    nan,                    nan,             0.00069602,             0.00069602,             0.00069602
                     73,                0.73163,                0.64285,                  1.204,                0.65785,                0.60073,                0.63708,                0.51727,                    nan,                    nan,                    nan,             0.00069302,             0.00069302,             0.00069302
                     74,                 0.7266,                0.63352,                  1.202,                0.59621,                0.60487,                0.58428,                0.47776,                    nan,                    nan,                    nan,             0.00069002,             0.00069002,             0.00069002
                     75,                0.72562,                0.62071,                 1.2021,                0.59656,                0.61342,                0.62245,                0.50728,                    nan,                    nan,                    nan,             0.00068702,             0.00068702,             0.00068702
                     76,                0.74281,                0.63773,                 1.2169,                0.60859,                0.62519,                0.63292,                0.51986,                    nan,                    nan,                    nan,             0.00068402,             0.00068402,             0.00068402
                     77,                0.72631,                0.62181,                 1.1918,                0.66204,                0.61399,                0.61747,                0.49979,                    nan,                    nan,                    nan,             0.00068102,             0.00068102,             0.00068102
                     78,                 0.7155,                0.62005,                 1.1903,                0.61183,                0.64144,                0.64294,                 0.5304,                    nan,                    nan,                    nan,             0.00067802,             0.00067802,             0.00067802
                     79,                0.71378,                 0.6156,                 1.2017,                0.70952,                0.62043,                0.66159,                0.54317,                    nan,                    nan,                    nan,             0.00067502,             0.00067502,             0.00067502
                     80,                0.73698,                0.64695,                 1.1973,                 0.7346,                0.61741,                0.63958,                0.52652,                    nan,                    nan,                    nan,             0.00067202,             0.00067202,             0.00067202
                     81,                0.72088,                0.61678,                 1.1977,                0.65539,                0.63334,                0.62962,                0.51269,                    nan,                    nan,                    nan,             0.00066902,             0.00066902,             0.00066902
                     82,                0.70257,                0.60969,                 1.1818,                0.69574,                0.61607,                0.66249,                0.54362,                    nan,                    nan,                    nan,             0.00066602,             0.00066602,             0.00066602
                     83,                0.72249,                0.61924,                 1.2073,                0.59958,                0.65748,                0.65172,                0.53286,                    nan,                    nan,                    nan,             0.00066302,             0.00066302,             0.00066302
                     84,                0.72875,                0.63085,                 1.1906,                0.71184,                0.61127,                0.68219,                0.55287,                    nan,                    nan,                    nan,             0.00066002,             0.00066002,             0.00066002
                     85,                0.70051,                0.60556,                 1.1789,                0.69231,                0.57845,                0.62748,                0.51508,                    nan,                    nan,                    nan,             0.00065703,             0.00065703,             0.00065703
                     86,                0.69086,                 0.5982,                 1.1725,                0.66392,                0.62279,                   0.65,                0.52435,                    nan,                    nan,                    nan,             0.00065403,             0.00065403,             0.00065403
                     87,                0.71018,                0.59531,                 1.1875,                0.64629,                0.61874,                0.60358,                0.49397,                    nan,                    nan,                    nan,             0.00065103,             0.00065103,             0.00065103
                     88,                 0.7022,                0.60377,                 1.1738,                0.65141,                0.61649,                0.62437,                 0.5124,                    nan,                    nan,                    nan,             0.00064803,             0.00064803,             0.00064803
                     89,                 0.7037,                0.59649,                 1.1779,                0.61309,                 0.6483,                0.66034,                0.54178,                    nan,                    nan,                    nan,             0.00064503,             0.00064503,             0.00064503
                     90,                0.69476,                0.59885,                 1.1678,                0.57905,                0.65988,                0.59538,                0.48022,                    nan,                    nan,                    nan,             0.00064203,             0.00064203,             0.00064203
                     91,                0.69383,                0.59322,                 1.1805,                0.66264,                 0.6299,                 0.6893,                0.56306,                    nan,                    nan,                    nan,             0.00063903,             0.00063903,             0.00063903
